"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Under 3 years","Margin of Error!!Total:!!In households:!!Under 3 years","Estimate!!Total:!!In households:!!3 and 4 years","Margin of Error!!Total:!!In households:!!3 and 4 years","Estimate!!Total:!!In households:!!5 years","Margin of Error!!Total:!!In households:!!5 years","Estimate!!Total:!!In households:!!6 to 8 years","Margin of Error!!Total:!!In households:!!6 to 8 years","Estimate!!Total:!!In households:!!9 to 11 years","Margin of Error!!Total:!!In households:!!9 to 11 years","Estimate!!Total:!!In households:!!12 to 14 years","Margin of Error!!Total:!!In households:!!12 to 14 years","Estimate!!Total:!!In households:!!15 to 17 years","Margin of Error!!Total:!!In households:!!15 to 17 years","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"0100000US","United States","73475278","29348","73296872","30147","10805890","40680","7843388","42083","3918261","31768","12020098","60707","12464124","54881","13380237","69624","12864874","19019","178406","5682",
"0400000US29","Missouri","1383537","3015","1378597","3008","202775","6078","151171","5730","76070","4466","222068","7455","237463","6327","249239","7822","239811","2566","4940","632",
"9700000US2928860","Springfield R-XII School District, Missouri","41075","3173","40814","3198","6513","1270","3587","1092","1797","592","7681","1549","6555","1332","7773","2231","6908","920","261","331",
