"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In households","Margin of Error!!Total!!In households","Estimate!!Total!!In households!!Under 3 years","Margin of Error!!Total!!In households!!Under 3 years","Estimate!!Total!!In households!!3 and 4 years","Margin of Error!!Total!!In households!!3 and 4 years","Estimate!!Total!!In households!!5 years","Margin of Error!!Total!!In households!!5 years","Estimate!!Total!!In households!!6 to 8 years","Margin of Error!!Total!!In households!!6 to 8 years","Estimate!!Total!!In households!!9 to 11 years","Margin of Error!!Total!!In households!!9 to 11 years","Estimate!!Total!!In households!!12 to 14 years","Margin of Error!!Total!!In households!!12 to 14 years","Estimate!!Total!!In households!!15 to 17 years","Margin of Error!!Total!!In households!!15 to 17 years","Estimate!!Total!!In group quarters","Margin of Error!!Total!!In group quarters",
"0100000US","United States","73352242","34712","73138247","35019","11488707","37435","8142546","37748","3846152","34500","11828242","49318","12725492","52396","12739211","49508","12367897","18680","213995","6091",
"0400000US29","Missouri","1377726","3160","1373605","3112","216520","4873","153888","4615","73119","4108","221243","7117","241800","6973","237314","7301","229721","2904","4121","435",
"9700000US2928860","Springfield R-XII School District, Missouri","40333","2884","40020","2895","7607","1163","4753","919","2438","987","5742","1301","6562","1499","6682","1512","6236","1073","313","303",
