"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Under 3 years","Margin of Error!!Total:!!In households:!!Under 3 years","Estimate!!Total:!!In households:!!3 and 4 years","Margin of Error!!Total:!!In households:!!3 and 4 years","Estimate!!Total:!!In households:!!5 years","Margin of Error!!Total:!!In households:!!5 years","Estimate!!Total:!!In households:!!6 to 8 years","Margin of Error!!Total:!!In households:!!6 to 8 years","Estimate!!Total:!!In households:!!9 to 11 years","Margin of Error!!Total:!!In households:!!9 to 11 years","Estimate!!Total:!!In households:!!12 to 14 years","Margin of Error!!Total:!!In households:!!12 to 14 years","Estimate!!Total:!!In households:!!15 to 17 years","Margin of Error!!Total:!!In households:!!15 to 17 years","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"0100000US","United States","72967785","33143","72776044","33470","11239660","42619","8153072","40762","3878595","35900","11745491","55247","12540925","56737","12900817","58624","12317484","19452","191741","4953",
"0400000US29","Missouri","1372695","3616","1367069","3730","216899","5876","148552","5713","75637","4297","225937","8411","232494","6924","237495","7780","230055","2801","5626","657",
"9700000US2928860","Springfield R-XII School District, Missouri","41268","3029","40712","3022","5802","1396","5214","1273","1499","521","7103","1348","6359","1229","7700","1572","7035","1234","556","414",
