"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In households","Margin of Error!!Total!!In households","Estimate!!Total!!In households!!Under 3 years","Margin of Error!!Total!!In households!!Under 3 years","Estimate!!Total!!In households!!3 and 4 years","Margin of Error!!Total!!In households!!3 and 4 years","Estimate!!Total!!In households!!5 years","Margin of Error!!Total!!In households!!5 years","Estimate!!Total!!In households!!6 to 8 years","Margin of Error!!Total!!In households!!6 to 8 years","Estimate!!Total!!In households!!9 to 11 years","Margin of Error!!Total!!In households!!9 to 11 years","Estimate!!Total!!In households!!12 to 14 years","Margin of Error!!Total!!In households!!12 to 14 years","Estimate!!Total!!In households!!15 to 17 years","Margin of Error!!Total!!In households!!15 to 17 years","Estimate!!Total!!In group quarters","Margin of Error!!Total!!In group quarters",
"0100000US","United States","74165365","31999","73943767","33020","11855581","40493","8266032","34416","4089082","35859","12152018","46256","12420752","47863","12445002","47132","12715300","12313","221598","10278",
"0400000US29","Missouri","1417571","3752","1413164","3813","227123","4840","160303","5144","76436","4172","229921","6227","234627","6382","241747","5786","243007","2284","4407","665",
"9700000US2928860","Springfield School District, Missouri","40689","2636","40530","2618","7332","1219","5431","1042","1783","634","7063","1353","6157","1098","7309","1410","5455","1165","159","146",
