"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In households","Margin of Error!!Total!!In households","Estimate!!Total!!In households!!Under 3 years","Margin of Error!!Total!!In households!!Under 3 years","Estimate!!Total!!In households!!3 and 4 years","Margin of Error!!Total!!In households!!3 and 4 years","Estimate!!Total!!In households!!5 years","Margin of Error!!Total!!In households!!5 years","Estimate!!Total!!In households!!6 to 8 years","Margin of Error!!Total!!In households!!6 to 8 years","Estimate!!Total!!In households!!9 to 11 years","Margin of Error!!Total!!In households!!9 to 11 years","Estimate!!Total!!In households!!12 to 14 years","Margin of Error!!Total!!In households!!12 to 14 years","Estimate!!Total!!In households!!15 to 17 years","Margin of Error!!Total!!In households!!15 to 17 years","Estimate!!Total!!In group quarters","Margin of Error!!Total!!In group quarters",
"0100000US","United States","73910701","31502","73686384","32201","11625015","36746","8421104","34268","4102129","36684","12207905","48853","12393519","58517","12366956","59347","12569756","15594","224317","5186",
"0400000US29","Missouri","1413695","3484","1407420","3495","221539","4168","159781","4264","84117","4574","230980","6094","232498","6367","238146","6404","240359","2751","6275","757",
"9700000US2928860","Springfield School District, Missouri","38358","2204","37960","2251","7891","1120","4152","836","3352","974","5434","1270","6282","1113","5810","1271","5039","858","398","304",
