"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Under 3 years","Margin of Error!!Total:!!In households:!!Under 3 years","Estimate!!Total:!!In households:!!3 and 4 years","Margin of Error!!Total:!!In households:!!3 and 4 years","Estimate!!Total:!!In households:!!5 years","Margin of Error!!Total:!!In households:!!5 years","Estimate!!Total:!!In households:!!6 to 8 years","Margin of Error!!Total:!!In households:!!6 to 8 years","Estimate!!Total:!!In households:!!9 to 11 years","Margin of Error!!Total:!!In households:!!9 to 11 years","Estimate!!Total:!!In households:!!12 to 14 years","Margin of Error!!Total:!!In households:!!12 to 14 years","Estimate!!Total:!!In households:!!15 to 17 years","Margin of Error!!Total:!!In households:!!15 to 17 years","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"0100000US","United States","72325602","31891","72179470","31497","10658295","45555","7688007","46087","3787052","33915","11960365","59646","12182007","50802","13025007","63576","12878737","17407","146132","4001",
"0400000US29","Missouri","1362791","3007","1359143","3051","205675","4743","143973","4934","80204","4559","224479","6474","219872","6237","244433","7208","240507","2284","3648","458",
"9700000US2928860","Springfield R-XII School District, Missouri","41006","2907","40804","2911","5167","1125","4360","1033","3145","1084","7609","1670","5986","1360","7736","1164","6801","888","202","62",
