"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In households","Margin of Error!!Total!!In households","Estimate!!Total!!In households!!Under 3 years","Margin of Error!!Total!!In households!!Under 3 years","Estimate!!Total!!In households!!3 and 4 years","Margin of Error!!Total!!In households!!3 and 4 years","Estimate!!Total!!In households!!5 years","Margin of Error!!Total!!In households!!5 years","Estimate!!Total!!In households!!6 to 8 years","Margin of Error!!Total!!In households!!6 to 8 years","Estimate!!Total!!In households!!9 to 11 years","Margin of Error!!Total!!In households!!9 to 11 years","Estimate!!Total!!In households!!12 to 14 years","Margin of Error!!Total!!In households!!12 to 14 years","Estimate!!Total!!In households!!15 to 17 years","Margin of Error!!Total!!In households!!15 to 17 years","Estimate!!Total!!In group quarters","Margin of Error!!Total!!In group quarters",
"0100000US","United States","73629710","34141","73421397","34858","11683380","39209","8097604","36420","3952288","35367","12460545","41670","12390428","46532","12347355","50268","12489797","15013","208313","5684",
"0400000US29","Missouri","1392566","2878","1386641","2973","228669","4656","145501","3740","74287","4465","239212","6815","235556","5203","226176","6219","237240","1966","5925","651",
"9700000US2928860","Springfield R-XII School District, Missouri","40236","2364","39960","2346","7238","1171","4956","915","1344","536","7144","1436","6004","1029","6645","994","6629","725","276","153",
